"ID","count"
"k105_100500_1",0
"k105_100500_2",0
"k105_100512_0",0
"k105_100512_1",0
"k105_100512_2",0
"k105_100512_3",0
"k105_100512_4",0
"k105_100512_5",0
"k105_100534_0",0
"k105_100534_1",0
"k105_100534_2",0
"k105_100535_0",0
"k105_100535_1",0
"k105_100535_2",0
"k105_100535_3",0
"k105_100535_4",0
"k105_100535_5",0
"k105_100535_6",0
"k105_100633_0",0
"k105_100735_0",0
"k105_100735_1",0
"k105_100735_2",0
"k105_100735_3",0
"k105_100735_4",0
"k105_100735_5",0
"k105_100735_6",0
"k105_100742_0",0
"k105_100742_1",0
"k105_100742_2",0
"k105_100742_3",0
"k105_100742_4",0
"k105_100742_5",0
"k105_100742_6",0
"k105_100742_7",0
"k105_100742_8",0
"k105_100814_0",0
"k105_100814_1",0
"k105_100814_2",0
"k105_100814_3",0
"k105_100814_4",0
"k105_100949_0",0
"k105_100949_1",0
"k105_100949_2",0
"k105_100949_3",0
"k105_100949_4",0
"k105_100949_5",0
"k105_100959_0",0
"k105_100959_1",0
"k105_100959_2",0
"k105_100984_0",0
"k105_100984_1",0
"k105_100984_10",0
"k105_100984_11",0
"k105_100984_2",0
"k105_100984_3",0
"k105_100984_4",0
"k105_100984_5",0
"k105_100984_6",0
"k105_100984_7",0
"k105_100984_8",0
"k105_100984_9",0
"k105_101003_0",0
"k105_101003_1",0
"k105_101003_2",0
"k105_101003_3",0
"k105_101027_0",0
"k105_101027_1",0
"k105_101027_2",0
"k105_101027_3",0
"k105_101027_4",0
"k105_101027_5",0
"k105_101108_0",0
"k105_101108_1",0
"k105_101108_2",0
"k105_101108_3",0
"k105_101108_4",0
"k105_101108_5",0
"k105_101108_6",0
"k105_101125_0",0
"k105_101125_1",0
"k105_101125_2",0
"k105_101125_3",0
"k105_101170_0",0
"k105_101170_1",0
"k105_101183_0",0
"k105_101183_1",0
"k105_101183_10",0
"k105_101183_2",0
"k105_101183_3",0
"k105_101183_4",0
"k105_101183_5",0
"k105_101183_6",0
"k105_101183_7",0
"k105_101183_8",0
"k105_101183_9",0
"k105_101184_0",0
"k105_101184_1",0
"k105_101184_2",0
"k105_101184_3",0
"k105_101227_0",3
"k105_101227_1",0
"k105_101233_0",0
"k105_101233_1",0
"k105_101233_2",0
"k105_101233_3",0
"k105_101233_4",0
"k105_101233_5",0
"k105_101237_0",0
"k105_101237_1",0
"k105_101237_2",0
"k105_101237_3",0
"k105_101237_4",0
"k105_101237_5",0
"k105_101396_0",0
"k105_101396_1",0
"k105_101455_0",0
"k105_101455_1",0
"k105_101487_0",0
"k105_101487_1",0
"k105_101487_2",0
"k105_101487_3",0
"k105_101487_4",0
"k105_101487_5",0
"k105_101487_6",0
"k105_101487_7",0
"k105_101487_8",0
"k105_101567_0",0
"k105_101567_1",0
"k105_101601_0",0
"k105_101601_1",0
"k105_101601_2",0
"k105_101601_3",0
"k105_101601_4",0
"k105_101635_0",0
"k105_101635_1",0
"k105_101635_2",0
"k105_101635_3",0
"k105_101674_0",0
"k105_101674_1",0
"k105_101674_2",0
"k105_101696_0",0
"k105_101696_1",0
"k105_101696_2",0
"k105_101696_3",0
"k105_101696_4",0
"k105_101696_5",0
"k105_101708_0",0
"k105_101708_1",0
"k105_101708_2",0
"k105_101743_0",0
"k105_101743_1",0
"k105_101743_2",0
"k105_101743_3",0
"k105_101743_4",0
"k105_101743_5",0
"k105_101810_0",0
"k105_101810_1",0
"k105_101810_2",0
"k105_101810_3",0
"k105_101838_0",1
"k105_101838_1",0
"k105_101838_2",0
"k105_101871_0",0
"k105_101871_1",0
"k105_101871_2",0
"k105_101871_3",0
"k105_10200_0",0
"k105_10200_1",0
"k105_10200_2",0
"k105_10200_3",0
"k105_10200_4",1
"k105_10200_5",0
"k105_102095_0",0
"k105_102095_1",0
"k105_102095_2",0
"k105_102095_3",0
"k105_102149_0",0
"k105_102149_1",0
"k105_102149_2",0
"k105_102329_0",0
"k105_102329_1",0
"k105_102329_2",0
"k105_102329_3",0
"k105_102329_4",0
"k105_102329_5",0
"k105_102329_6",0
"k105_102329_7",0
"k105_102347_0",0
"k105_102347_1",0
"k105_102347_2",0
"k105_102347_3",0
"k105_102347_4",0
"k105_102347_5",0
"k105_102347_6",0
"k105_102347_7",0
"k105_102438_0",0
"k105_102438_1",0
"k105_102438_2",0
"k105_102439_0",0
"k105_102439_1",0
"k105_102439_2",0
"k105_102447_0",0
"k105_102447_1",0
"k105_102447_2",0
"k105_102447_3",2
"k105_102447_4",0
"k105_102447_5",0
"k105_102447_6",0
"k105_102447_7",0
"k105_102460_0",0
"k105_102460_1",0
"k105_102486_0",0
"k105_102486_1",0
"k105_102486_2",0
"k105_102486_3",0
"k105_102486_4",0
"k105_102487_0",0
"k105_102487_1",0
"k105_102487_2",0
"k105_102488_0",0
"k105_102488_1",0
"k105_102488_2",0
"k105_102499_0",0
"k105_102499_1",0
"k105_102499_2",0
"k105_102499_3",0
"k105_102499_4",0
"k105_10256_0",0
"k105_10256_1",0
"k105_10256_2",0
"k105_102654_0",0
"k105_102654_1",0
"k105_102654_2",0
"k105_102654_3",0
"k105_102654_4",0
"k105_102654_5",0
"k105_102654_6",0
"k105_102654_7",0
"k105_102686_0",0
"k105_102686_1",0
"k105_102686_2",0
"k105_102686_3",0
"k105_102686_4",0
"k105_102686_5",0
"k105_102690_0",0
"k105_102690_1",0
"k105_102690_2",0
"k105_102717_0",0
"k105_102717_1",0
"k105_102717_10",0
"k105_102717_11",0
"k105_102717_12",0
"k105_102717_13",0
"k105_102717_14",0
"k105_102717_15",0
"k105_102717_2",0
"k105_102717_3",0
"k105_102717_4",0
"k105_102717_5",0
"k105_102717_6",0
"k105_102717_7",0
"k105_102717_8",0
"k105_102717_9",0
"k105_102718_0",0
"k105_102718_1",0
"k105_102718_2",0
"k105_102718_3",0
"k105_10271_0",0
"k105_10271_1",0
"k105_102781_0",0
"k105_102781_1",0
"k105_102781_2",0
"k105_102781_3",0
"k105_102781_4",0
"k105_102781_5",0
"k105_102781_6",0
"k105_10280_0",0
"k105_10280_1",0
"k105_10280_2",0
"k105_10280_3",0
"k105_10280_4",0
"k105_10280_5",0
"k105_102995_0",5
"k105_102995_1",0
"k105_102995_2",0
"k105_102995_3",0
"k105_102995_4",0
"k105_103038_0",0
"k105_103038_1",0
"k105_103038_10",0
"k105_103038_11",0
"k105_103038_12",0
"k105_103038_2",0
"k105_103038_3",0
"k105_103038_4",0
"k105_103038_5",0
"k105_103038_6",0
"k105_103038_7",0
"k105_103038_8",0
"k105_103038_9",0
"k105_103092_0",0
"k105_103092_1",1
"k105_103092_2",0
"k105_103092_3",0
"k105_103127_0",0
"k105_103147_0",0
"k105_103147_1",0
"k105_103147_2",0
"k105_103147_3",0
"k105_103173_0",0
"k105_103173_1",0
"k105_103173_2",6
"k105_103173_3",0
"k105_103173_4",0
"k105_103173_5",0
"k105_103173_6",0
"k105_103173_7",0
"k105_103208_0",0
"k105_103208_1",0
"k105_103208_2",0
"k105_103208_3",0
"k105_103208_4",0
"k105_103339_0",0
"k105_103339_1",0
"k105_103339_2",0
"k105_103339_3",0
"k105_103387_0",4
"k105_103387_1",0
"k105_103451_0",0
"k105_103451_1",0
"k105_103451_2",0
"k105_103451_3",0
"k105_103522_0",0
"k105_103522_1",0
"k105_103522_2",0
"k105_103586_0",0
"k105_103586_1",0
"k105_103608_0",0
"k105_103608_1",0
"k105_103608_2",0
"k105_103608_3",0
"k105_103608_4",0
"k105_103608_5",0
"k105_103608_6",0
"k105_103633_0",0
"k105_103633_1",0
"k105_103633_2",0
"k105_103633_3",0
"k105_103633_4",0
"k105_103633_5",0
"k105_103661_0",0
"k105_103661_1",0
"k105_103661_2",0
"k105_103699_0",0
"k105_103699_1",0
"k105_103699_2",0
"k105_103784_0",0
"k105_103784_1",0
"k105_103784_2",0
"k105_103784_3",0
"k105_103784_4",0
"k105_103784_5",0
"k105_103784_6",0
"k105_103784_7",0
"k105_103784_8",0
"k105_103799_0",0
"k105_103799_1",0
"k105_103799_2",0
"k105_103799_3",0
"k105_103799_4",0
"k105_103809_0",0
"k105_103809_1",0
"k105_103838_0",0
"k105_103838_1",0
"k105_103863_0",0
"k105_103863_1",0
"k105_103863_2",0
"k105_103863_3",0
"k105_103863_4",0
"k105_103888_0",0
"k105_103888_1",0
"k105_103888_2",0
"k105_104005_0",0
"k105_104005_1",0
"k105_104116_0",0
"k105_104116_1",0
"k105_104116_10",0
"k105_104116_11",0
"k105_104116_12",0
"k105_104116_2",0
"k105_104116_3",0
"k105_104116_4",0
"k105_104116_5",0
"k105_104116_6",0
"k105_104116_7",0
"k105_104116_8",0
"k105_104116_9",0
"k105_104147_0",0
"k105_104147_1",0
"k105_104147_2",0
"k105_104160_0",0
"k105_104160_1",0
"k105_10420_0",0
"k105_10420_1",0
"k105_10420_2",0
"k105_104210_0",0
"k105_104210_1",17
"k105_104210_2",1
"k105_104210_3",0
"k105_104210_4",1
"k105_104213_0",1
"k105_104213_1",0
"k105_104213_2",0
"k105_104213_3",0
"k105_104213_4",0
"k105_104227_0",0
"k105_104227_1",0
"k105_104227_2",0
"k105_104227_3",0
"k105_104233_0",0
"k105_104233_1",0
"k105_104236_0",0
"k105_104236_1",0
"k105_104236_2",0
"k105_104445_0",0
"k105_104479_0",0
"k105_104479_1",0
"k105_104479_2",0
"k105_104479_3",0
"k105_104479_4",0
"k105_104480_0",0
"k105_104480_1",0
"k105_104480_2",0
"k105_104480_3",0
"k105_104480_4",0
"k105_104480_5",0
"k105_104480_6",0
"k105_104480_7",0
"k105_104488_0",0
"k105_104488_1",0
"k105_104507_0",0
"k105_104507_1",0
"k105_104507_2",0
"k105_104507_3",0
"k105_104532_0",0
"k105_104532_1",0
"k105_10461_0",0
"k105_10461_1",0
"k105_10461_2",0
"k105_104621_0",0
"k105_104621_1",2
"k105_104623_0",0
"k105_104623_1",0
"k105_104623_2",0
"k105_104623_3",0
"k105_104623_4",0
"k105_104623_5",0
"k105_104623_6",0
"k105_104623_7",0
"k105_104671_0",6
"k105_104671_1",0
"k105_104671_2",0
"k105_104671_3",0
"k105_104671_4",0
"k105_104734_0",0
"k105_104734_1",0
"k105_104734_2",0
"k105_104734_3",0
"k105_104807_0",0
"k105_104807_1",0
"k105_104807_2",0
"k105_104807_3",0
"k105_104807_4",0
"k105_1048_0",0
"k105_1048_1",0
"k105_1048_2",0
"k105_1048_3",0
"k105_1048_4",0
"k105_1048_5",0
"k105_1048_6",0
"k105_1048_7",0
"k105_104927_0",0
"k105_104927_1",0
"k105_104927_2",0
"k105_104927_3",0
"k105_104959_0",0
"k105_104959_1",0
"k105_104959_2",0
"k105_104959_3",0
"k105_104959_4",0
"k105_104959_5",0
"k105_104961_0",5
"k105_104987_0",0
"k105_104987_1",0
"k105_104987_2",0
"k105_10513_0",0
"k105_10513_1",0
"k105_105155_0",0
"k105_105155_1",0
"k105_105155_2",0
"k105_105155_3",0
"k105_105155_4",0
"k105_105155_5",0
"k105_105155_6",0
"k105_105179_0",0
"k105_105179_1",0
"k105_105179_2",0
"k105_105179_3",0
"k105_105227_0",0
"k105_105227_1",0
"k105_105227_2",0
"k105_105227_3",0
"k105_105227_4",0
"k105_105227_5",0
"k105_105363_0",0
"k105_105363_1",0
"k105_105363_2",0
"k105_105363_3",0
"k105_105363_4",0
"k105_105380_0",0
"k105_105403_0",0
"k105_105472_0",0
"k105_105472_1",0
"k105_105472_2",0
"k105_105472_3",0
"k105_105472_4",0
"k105_105497_0",3
"k105_105497_1",0
"k105_105497_2",0
"k105_10549_0",0
"k105_10549_1",0
"k105_10549_2",0
"k105_10549_3",0
"k105_105533_0",0
"k105_105533_1",0
"k105_105533_2",0
"k105_105553_0",0
"k105_105553_1",0
"k105_105553_2",0
"k105_105625_0",0
"k105_105625_1",0
"k105_105635_0",2
"k105_105635_1",0
"k105_105635_2",0
"k105_105635_3",0
"k105_105635_4",0
"k105_105635_5",0
"k105_105770_0",0
